ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Granularity_1_DF_image,Granularity_2_DF_image,Granularity_3_DF_image,Granularity_4_DF_image,Granularity_5_DF_image,Intensity_IntegratedIntensityEdge_DF_image,Intensity_IntegratedIntensity_DF_image,Intensity_LowerQuartileIntensity_DF_image,Intensity_MADIntensity_DF_image,Intensity_MassDisplacement_DF_image,Intensity_MaxIntensityEdge_DF_image,Intensity_MaxIntensity_DF_image,Intensity_MeanIntensityEdge_DF_image,Intensity_MeanIntensity_DF_image,Intensity_MedianIntensity_DF_image,Intensity_MinIntensityEdge_DF_image,Intensity_MinIntensity_DF_image,Intensity_StdIntensityEdge_DF_image,Intensity_StdIntensity_DF_image,Intensity_UpperQuartileIntensity_DF_image,Location_CenterMassIntensity_X_DF_image,Location_CenterMassIntensity_Y_DF_image,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_DF_image,Location_MaxIntensity_Y_DF_image,Number_Object_Number,RadialDistribution_FracAtD_DF_image_1of4,RadialDistribution_FracAtD_DF_image_2of4,RadialDistribution_FracAtD_DF_image_3of4,RadialDistribution_FracAtD_DF_image_4of4,RadialDistribution_MeanFrac_DF_image_1of4,RadialDistribution_MeanFrac_DF_image_2of4,RadialDistribution_MeanFrac_DF_image_3of4,RadialDistribution_MeanFrac_DF_image_4of4,RadialDistribution_RadialCV_DF_image_1of4,RadialDistribution_RadialCV_DF_image_2of4,RadialDistribution_RadialCV_DF_image_3of4,RadialDistribution_RadialCV_DF_image_4of4,Texture_AngularSecondMoment_DF_image_3_0,Texture_AngularSecondMoment_DF_image_3_135,Texture_AngularSecondMoment_DF_image_3_45,Texture_AngularSecondMoment_DF_image_3_90,Texture_Contrast_DF_image_3_0,Texture_Contrast_DF_image_3_135,Texture_Contrast_DF_image_3_45,Texture_Contrast_DF_image_3_90,Texture_Correlation_DF_image_3_0,Texture_Correlation_DF_image_3_135,Texture_Correlation_DF_image_3_45,Texture_Correlation_DF_image_3_90,Texture_DifferenceEntropy_DF_image_3_0,Texture_DifferenceEntropy_DF_image_3_135,Texture_DifferenceEntropy_DF_image_3_45,Texture_DifferenceEntropy_DF_image_3_90,Texture_DifferenceVariance_DF_image_3_0,Texture_DifferenceVariance_DF_image_3_135,Texture_DifferenceVariance_DF_image_3_45,Texture_DifferenceVariance_DF_image_3_90,Texture_Entropy_DF_image_3_0,Texture_Entropy_DF_image_3_135,Texture_Entropy_DF_image_3_45,Texture_Entropy_DF_image_3_90,Texture_Gabor_DF_image_3,Texture_InfoMeas1_DF_image_3_0,Texture_InfoMeas1_DF_image_3_135,Texture_InfoMeas1_DF_image_3_45,Texture_InfoMeas1_DF_image_3_90,Texture_InfoMeas2_DF_image_3_0,Texture_InfoMeas2_DF_image_3_135,Texture_InfoMeas2_DF_image_3_45,Texture_InfoMeas2_DF_image_3_90,Texture_InverseDifferenceMoment_DF_image_3_0,Texture_InverseDifferenceMoment_DF_image_3_135,Texture_InverseDifferenceMoment_DF_image_3_45,Texture_InverseDifferenceMoment_DF_image_3_90,Texture_SumAverage_DF_image_3_0,Texture_SumAverage_DF_image_3_135,Texture_SumAverage_DF_image_3_45,Texture_SumAverage_DF_image_3_90,Texture_SumEntropy_DF_image_3_0,Texture_SumEntropy_DF_image_3_135,Texture_SumEntropy_DF_image_3_45,Texture_SumEntropy_DF_image_3_90,Texture_SumVariance_DF_image_3_0,Texture_SumVariance_DF_image_3_135,Texture_SumVariance_DF_image_3_45,Texture_SumVariance_DF_image_3_90,Texture_Variance_DF_image_3_0,Texture_Variance_DF_image_3_135,Texture_Variance_DF_image_3_45,Texture_Variance_DF_image_3_90
3,191,2916,675.0,567.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,4.13865459214,1.62619583374,1.9423238863,0.636397520673,0.938720854788,0.0837262531277,1.10534828692,0.000381475547329,3.05180437863e-05,1.93058468453,0.000488288700581,0.00384527351707,0.000394935156263,0.000379063198531,0.000411993591115,0.0,0.0,7.54995938767e-05,0.000190161942628,0.000442511634901,672.751363216,565.681815044,674.5,566.5,694.0,583.0,191,0.0622736,0.169219,0.295738,0.472769,1.23530405304,1.02800806314,0.940428379448,1.00480576689,0.158350908167,0.306524617197,0.288030894293,0.129179520134,0.798693285109,0.794864040255,0.784649709595,0.812206606196,0.201888162672,0.230296039985,0.239907727797,0.200798838054,0.252490439038,0.187930392845,0.154993637816,0.253987856632,0.350733119371,0.349233506518,0.380037795193,0.314626895842,0.189217611249,0.217081207195,0.223810645094,0.190827865615,0.509440691731,0.523677958977,0.538571454951,0.491987752628,0.65137764113,-0.109394529629,-0.120333283366,-0.0707571710109,-0.163497494523,0.239270790072,0.254907387302,0.19681279032,0.289893502285,0.950472061983,0.950831615407,0.94498240839,0.957724246294,2.15758896151,2.16493656286,2.16532103037,2.15649963689,0.435311163264,0.447696669845,0.453862562004,0.423462719595,0.338273925455,0.336886664565,0.327916938462,0.337526745279,0.135040522032,0.141956166565,0.141956166565,0.134734503823
3,192,2916,674.0,620.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,3.48010783433,2.07499387305,1.52220679138,1.86531601449,1.51676061324,0.0841687647626,1.12071412196,0.000366216525435,3.05180437863e-05,2.49496648383,0.000549324788153,0.00320439459756,0.000397022475295,0.000384332689288,0.000411993591115,0.000228885328397,0.0,5.35187886725e-05,0.00022039935675,0.000427252613008,672.173556082,619.598603055,674.5,620.5,674.0,633.0,192,0.0645785,0.185212,0.299077,0.451132,1.28102693387,1.12516399361,0.951044925427,0.958820602376,0.265241862623,0.589153871927,0.371552025596,0.196658494185,0.24157401738,0.240005433689,0.241448406337,0.25062166129,0.611474219317,0.655901576317,0.615532487505,0.500363108206,0.292274063838,0.259002354209,0.304814996454,0.420514086008,0.794657866311,0.811247713144,0.798849689142,0.74735234597,0.405462392063,0.443756512186,0.410759709874,0.333790053314,1.59473636013,1.61248165057,1.60461235617,1.55835919404,1.51854657372,-0.071734874361,-0.0651749905494,-0.0742616859407,-0.116226061387,0.334522073167,0.320878093185,0.341231388148,0.418260278946,0.78640540283,0.786170811247,0.787780623787,0.804280733577,3.116194626,3.12033833141,3.12072279892,3.11764705882,1.2704278431,1.28514549615,1.27491692467,1.26534953004,1.11576533031,1.11393083517,1.15420724381,1.22653680208,0.430525164691,0.443404416218,0.44082622231,0.431551993562
3,193,2916,675.0,675.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,2.93930461328,2.85098258181,1.84177371345,2.8704653785,1.20143912901,0.0815747310407,1.17480735481,0.000366216525435,3.05180437863e-05,1.46408377361,0.000488288700581,0.00473029678687,0.000384786467173,0.000402883180661,0.000396734569222,0.000228885328397,0.0,4.92447748045e-05,0.000250556664163,0.000427252613008,673.06968347,674.187372552,674.5,674.5,677.0,682.0,193,0.0641378,0.219235,0.28276,0.433867,1.27228484835,1.33185228109,0.899158754422,0.922125632405,0.33509892831,0.535458587756,0.31888663974,0.156295197857,0.857619128234,0.842203062407,0.852971109062,0.866899087562,0.22440087146,0.251441753172,0.281430219146,0.156862745098,0.361553004727,0.323044412607,0.242306590258,0.55370695476,0.300523365835,0.336013855938,0.305697795081,0.258716479757,0.214646260882,0.238838432147,0.270006463962,0.150824653808,0.434426585477,0.465291210672,0.452048693484,0.409088444094,0.866607307006,-0.200679268508,-0.158310232189,-0.210726026526,-0.305625523206,0.3039022592,0.277265945677,0.317811954628,0.370414044837,0.96125934292,0.955119221368,0.960409379616,0.96758682558,2.15250544662,2.16147635525,2.16147635525,2.15250544662,0.367536206957,0.392142846774,0.380677811731,0.354913889019,0.478557629782,0.491418658514,0.46143019254,0.546095756143,0.17573962531,0.185715102922,0.185715102922,0.17573962531
3,194,2916,674.0,729.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,5.489269439,3.51323630604,0.819235812679,0.611505654155,0.111654960207,0.0877241168637,1.17529564328,0.000381475547329,3.05180437863e-05,0.426848926065,0.00082398718223,0.0035553521011,0.000413793004074,0.000403050632125,0.000411993591115,0.000152590218931,0.0,6.87219720736e-05,0.00020720849492,0.000427252613008,674.07545798,728.455682069,674.5,728.5,688.0,747.0,194,0.0524133,0.165562,0.313595,0.46843,1.03970968085,1.00578944497,0.997210529014,0.995584423792,0.0483934492667,0.260166344861,0.303699490668,0.0760915358769,0.594920756974,0.567780765124,0.566880865772,0.563803675805,0.439724037763,0.543252595156,0.545174932718,0.535947712418,0.214500520515,0.0721605397708,0.0692181905265,0.0706093834384,0.62518772211,0.684722989939,0.675088380852,0.662738085702,0.371184265417,0.452165131531,0.454319391249,0.451986652807,0.932442310343,0.977877665691,0.974780053547,0.991811907411,0.835481813066,-0.0478831431277,-0.0113472212222,-0.0191667616417,-0.021612197991,0.214072933671,0.106734163921,0.138252571397,0.146508635804,0.883892552831,0.868912640584,0.868585664059,0.874942379164,2.3489469862,2.36409073433,2.36447520185,2.37327523602,0.752396475917,0.776619173029,0.773288454441,0.794136876239,0.679615812004,0.627530209376,0.626096696905,0.61738309999,0.27517220611,0.297697880669,0.288350634371,0.288560140159
3,195,2916,675.0,782.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,4.01471038921,2.8348145878,1.20926550209,1.75068954949,0.993462049239,0.0865033951122,1.1949645225,0.000381475547329,3.05180437863e-05,0.69893528014,0.000701915007085,0.00296025024727,0.000408034882605,0.000409795789608,0.000411993591115,0.000228885328397,0.0,5.63264430114e-05,0.000206752141712,0.000442511634901,673.878945755,782.820627745,674.5,782.5,685.0,806.0,195,0.0559816,0.163322,0.296276,0.48442,1.11049241862,0.992182518169,0.942139252062,1.02956878774,0.0972824059801,0.225830702712,0.181900227616,0.226988135613,0.490397014127,0.483626872284,0.4795241117,0.496244981222,0.490559186638,0.489811610919,0.612072279892,0.46223674655,0.286605817469,0.273580036628,0.0923162048465,0.295010713374,0.642164554435,0.647030553119,0.681358461474,0.616474340742,0.41698705626,0.415297934237,0.520287276017,0.398184010687,1.20561640514,1.21452877491,1.22883370969,1.1834736059,0.994541792225,-0.181152885731,-0.165876554643,-0.138838758701,-0.191622401613,0.466668456531,0.444584563743,0.418178291262,0.476244859888,0.8834433271,0.881742639789,0.874016312575,0.891183763837,3.72730573711,3.71933871588,3.71856978085,3.71132897603,0.978069611578,0.99075128058,0.987727611823,0.969114594252,0.883880395268,0.857023169009,0.735868158241,0.848041588943,0.336247692008,0.323405320847,0.308896365385,0.307969025314
3,196,2916,729.0,8.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,11.7530864198,11.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,3.44658479572,4.50838836157,6.74262382839,4.01227175715,0.0,0.0913252460305,1.33792629885,0.000381475547329,3.05180437863e-05,1.61697368712,0.000686655985191,0.00709544541314,0.000430779462408,0.000458822461881,0.000411993591115,0.000320439459756,0.0,5.30421037455e-05,0.000418911606018,0.000442511634901,729.515345402,27.7584425371,728.5,26.5,743.0,34.0,196,0.0568542,0.232172,0.346757,0.364217,1.0492839735,1.09019873453,0.99131620351,0.950812215557,0.416796572906,0.670575496782,0.48198665175,0.122679155429,0.886286481563,0.849656203859,0.857965786974,0.860205186461,0.179012345679,0.389465590158,0.347174163783,0.344226579521,0.576545660713,0.128441040998,0.223083792797,0.188655310458,0.245470834477,0.362767697864,0.33811915252,0.328682525766,0.173030553301,0.370202156595,0.331174491342,0.329163785797,0.375489641061,0.458270635759,0.443718255892,0.435548441456,1.2794528017,-0.34483001552,-0.0756780939525,-0.135895687603,-0.112757726369,0.383592511343,0.189516132967,0.252133672192,0.225198903313,0.969979077649,0.950983012009,0.955067553109,0.956710162385,2.15432098765,2.16339869281,2.16339869281,2.15613652869,0.322221408318,0.385561339297,0.373457732427,0.36720678191,0.666453732842,0.504250501944,0.546541928318,0.504306932703,0.21059801311,0.224232214239,0.222623984121,0.212133378056
3,197,2916,729.0,81.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,2.22802877051,1.43571589121,0.840076421668,0.779669588672,1.40902449989,0.0866712443531,1.08619821444,0.000366216525435,3.05180437863e-05,2.71155987118,0.000610360875726,0.00158693827689,0.000408826624307,0.000372495958313,0.000411993591115,0.000137331197038,0.0,6.16347665193e-05,0.000165324707984,0.000442511634901,725.843981794,79.9539924702,728.5,80.5,729.0,82.0,197,0.0845421,0.153336,0.281159,0.480963,1.67703986107,0.931515587121,0.894066129282,1.0222223322,0.240499818736,0.48644325522,0.407235381805,0.140036554324,0.281847121161,0.264096366095,0.272500846612,0.287353866746,0.586419753086,0.63168012303,0.668204536717,0.446259985476,0.589963691152,0.575700771146,0.550935293611,0.692711134665,0.784091670125,0.831224703635,0.827102350509,0.733209365907,0.431205498149,0.43991627152,0.488044922834,0.322460259824,1.7600569026,1.83721105884,1.82678486344,1.75284567108,2.46720423879,-0.299926258905,-0.25544572102,-0.264637157224,-0.323288147571,0.684552783905,0.649492342467,0.657675108879,0.701217389859,0.820112655464,0.798904829456,0.809659956658,0.833193512029,5.15432098765,5.13302575932,5.13417916186,5.13616557734,1.45141888421,1.50598134814,1.4796944183,1.47898012305,2.26776092238,2.33908999895,2.30225739043,2.45822001035,0.699779524494,0.756119736871,0.728583230565,0.726242782005
3,198,2916,728.0,134.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,3.25510976533,1.61493817815,0.792048672442,0.398127120307,0.0,0.0857099259738,1.08848706773,0.000381475547329,3.05180437863e-05,2.05567011787,0.000518806744367,0.0017853055615,0.00040429210365,0.000373280887423,0.000411993591115,0.000183108262718,0.0,5.06626244506e-05,0.000149228489579,0.000427252613008,726.564008748,133.808828889,728.5,134.5,731.0,139.0,198,0.0676962,0.144028,0.296409,0.491868,1.3428715358,0.874967613816,0.942559744046,1.04539809604,0.310732481346,0.444466071306,0.338827457634,0.113449440016,0.400756224919,0.379463522222,0.379288804575,0.400521799941,0.463326071169,0.524798154556,0.580161476355,0.490922294844,0.372958230907,0.318808650929,0.247628567125,0.341809851088,0.689271509113,0.733901694394,0.750894939352,0.687091379229,0.368066202247,0.411109145168,0.455322465659,0.398774555951,1.42202680657,1.50312188549,1.48791720104,1.44504800249,2.55929152152,-0.28726375212,-0.230536918054,-0.249461995007,-0.272343024614,0.617701215619,0.570822969551,0.589690625596,0.60491663405,0.859224295718,0.848077911164,0.843088136909,0.864135774493,4.07262164125,4.06420607459,4.06497500961,4.06535947712,1.16217740137,1.19993872168,1.18679482691,1.18325324124,1.01433394036,1.01586989064,0.961945107026,1.00081165364,0.36587014913,0.388677882594,0.381623546736,0.37293348712
3,199,2916,728.0,188.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,3.79721893824,1.67905196194,0.855711310026,0.765636435287,0.0,0.0886396581773,1.08418402355,0.000381475547329,3.05180437863e-05,1.72151436833,0.00082398718223,0.00260929274373,0.000418111595176,0.000371805220697,0.000411993591115,0.000305180437863,0.0,6.06110239641e-05,0.000168012055939,0.000442511634901,727.038211451,187.590722288,728.5,188.5,731.0,191.0,199,0.0640522,0.130018,0.29363,0.512299,1.27058638602,0.789861859381,0.933724484371,1.08882270888,0.378479126553,0.588059723346,0.351103609486,0.0558328356856,0.630055760974,0.598493821544,0.598019630163,0.617553183354,0.20116194626,0.313341022684,0.297962322184,0.290849673203,0.545425961803,0.327315029408,0.360332304664,0.353276796231,0.344047355194,0.431353766093,0.419099681005,0.38253955066,0.189136920537,0.290044006083,0.276505310042,0.273476250825,0.831240724985,0.91126966227,0.908571546225,0.866380198872,2.45417573234,-0.459125655646,-0.370132094817,-0.375286966654,-0.427025537108,0.628186292676,0.585245053891,0.588263783902,0.612733872266,0.952817445251,0.936590449756,0.938797745592,0.946196771699,3.71822803195,3.70203767782,3.70203767782,3.71423384168,0.734090640781,0.770549428877,0.783931992518,0.75490146749,0.683858007551,0.618254210038,0.633632910537,0.608606402834,0.21959740081,0.234800414651,0.231265855959,0.224993658132
3,200,2916,728.0,243.0,1.04683842995,0.0,1.0,1.0,0.785398163397,62.2822786428,74.9533188058,27.0,9.50617283951,8.0,53.0,62.2822786428,0.0,216.0,1.0,0.660869795737,1.38443344478e-17,0.203664276674,7.11128738288e-17,4.1138226657e-17,1.21217920067e-17,0.0467000983435,6.87279818293e-17,0.0474784086546,3.01614270629e-18,2.35351961301e-18,3.94331650134e-18,0.0271440318321,1.02125747161e-17,0.0263313175729,1.54571459722e-17,5.43164742914e-19,7.23504895226e-18,7.88346146391e-18,4.50104756863e-19,0.0171004103279,8.59872309486e-18,0.0162413057276,1.11936064472e-17,0.0170547672299,4.2996196528e-19,5.15076262939e-18,2.40934837192e-18,1.56222868731e-17,2.94509221124e-19,3.92349320883,2.8517614601,1.87553056027,1.92195458404,1.56780560272,0.0845654993318,1.15040817857,0.000366216525435,3.05180437863e-05,1.87404603549,0.000564583810046,0.00405889982358,0.000398893864773,0.000394515836272,0.000411993591115,0.000122072175145,0.0,6.25622944938e-05,0.000228912598423,0.000442511634901,726.911131154,241.506247347,728.5,242.5,743.0,249.0,200,0.0695437,0.182885,0.295018,0.452553,1.37952060481,1.1110257782,0.938138465585,0.961840438165,0.408638440137,0.438124292874,0.191386643018,0.145813792264,0.833895531369,0.813946991375,0.812771859994,0.832770344212,0.285039941903,0.340253748558,0.321799307958,0.250544662309,0.284797108565,0.191807441591,0.23564191984,0.372757088195,0.335598092701,0.388157002815,0.388821935961,0.318535441064,0.2714542365,0.320561059457,0.302748728382,0.239302811148,0.496734867577,0.5387698072,0.537163224731,0.492424696216,2.17587152637,-0.180059365013,-0.113055280194,-0.118644883781,-0.208292340707,0.306974229144,0.250843876605,0.25676604584,0.328908987576,0.955086275167,0.94578413106,0.945717767745,0.958006092331,2.17755991285,2.18800461361,2.18800461361,2.17864923747,0.417383855665,0.449033521062,0.448656363423,0.418232368014,0.512045462097,0.501755380217,0.520209820817,0.548331363531,0.19971900646,0.21003367084,0.210970228379,0.19971900646
